epoch,global_step,timestamp,lr-AdamW,lr-AdamW-momentum,val_loss,val_acc,val_precision,val_recall,val_f1,val_auroc,learning_rate,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,train_loss,train_acc,train_f1
0,38,2025-12-22T23:40:59.310567,0.0010000000474974513,0.8999999761581421,0.802736222743988,0.7590758800506592,0.6575342416763306,0.5,0.5680473446846008,0.8231682777404785,0.001,182.0,25.0,48.0,48.0,0.8776679635047913,0.6277915835380554,0.5233050584793091
1,76,2025-12-22T23:41:24.514078,0.0010000000474974513,0.8999999761581421,0.6926923990249634,0.7590758800506592,0.5966386795043945,0.7395833134651184,0.6604651212692261,0.8316223621368408,0.001,159.0,48.0,25.0,71.0,0.7417056560516357,0.7526881694793701,0.660612940788269
2,114,2025-12-22T23:41:49.510912,0.0010000000474974513,0.8999999761581421,0.6595198512077332,0.7788779139518738,0.6159999966621399,0.8020833134651184,0.6968325972557068,0.8465932011604309,0.001,159.0,48.0,19.0,77.0,0.7047742605209351,0.7344912886619568,0.6544671654701233
3,152,2025-12-22T23:42:16.396752,0.0010000000474974513,0.8999999761581421,0.6519201993942261,0.7920792102813721,0.6460176706314087,0.7604166865348816,0.6985645890235901,0.8496627807617188,0.001,167.0,40.0,23.0,73.0,0.6979833245277405,0.7626137137413025,0.6793296337127686
4,190,2025-12-22T23:42:42.946717,0.0010000000474974513,0.8999999761581421,0.6810664534568787,0.6930692791938782,0.508571445941925,0.9270833134651184,0.6568265557289124,0.8546699285507202,0.001,121.0,86.0,7.0,89.0,0.6739355325698853,0.7427626252174377,0.6708994507789612
5,228,2025-12-22T23:43:07.283966,0.0010000000474974513,0.8999999761581421,0.6651124358177185,0.8118811845779419,0.6893203854560852,0.7395833134651184,0.713567852973938,0.8567330837249756,0.001,175.0,32.0,25.0,71.0,0.7068982720375061,0.7369726896286011,0.6550976037979126
6,266,2025-12-22T23:43:32.053554,0.0010000000474974513,0.8999999761581421,0.6363692879676819,0.7689769268035889,0.5984848737716675,0.8229166865348816,0.6929824352264404,0.8565317988395691,0.001,154.0,53.0,17.0,79.0,0.6556395888328552,0.7568238377571106,0.6811279654502869
7,304,2025-12-22T23:43:57.221498,0.0010000000474974513,0.8999999761581421,0.6465626955032349,0.7920792102813721,0.6386554837226868,0.7916666865348816,0.7069767713546753,0.855575680732727,0.001,164.0,43.0,20.0,76.0,0.6363415122032166,0.7659222483634949,0.6920565962791443
8,342,2025-12-22T23:44:21.050445,0.0010000000474974513,0.8999999761581421,0.642629086971283,0.7854785323143005,0.6302521228790283,0.78125,0.6976743936538696,0.8605072498321533,0.001,163.0,44.0,21.0,75.0,0.6915196180343628,0.7576509714126587,0.6776677370071411
9,380,2025-12-22T23:44:44.801303,0.0005000000237487257,0.8999999761581421,0.6502693891525269,0.801980197429657,0.6578947305679321,0.78125,0.7142857313156128,0.8595763444900513,0.0005,168.0,39.0,21.0,75.0,0.6444494724273682,0.7543424367904663,0.6789188981056213
